ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
经济学类,北京,1,1,1,6,5,5,6,5,5,7753,8013,7865,5250,4429,7263,7255,8013,7865,0.866666666666667,0.444444444444444,1
社会学类,北京,1,1,1,2,3,2,2,5,2,7753,8013,7865,7925,8267,7050,8679,9034,7865,0.5,0.633333333333333,1
工商管理类,北京,1,1,1,3,3,3,3,3,3,7753,7809,7865,7753,7299.5,6846,8875,8583,8291,0.5,0.166666666666666,1
统计学类,北京,1,1,1,4,3,2,4,3,2,7753,7809,7865,7255,6496.5,5738,8679,8385,8091,0.75,0.5,1
理科试验班类,北京,1,0,1,3,4,5,8,6.5,5,3402,3469.5,3537,2545,3041,3537,3633,3814,3995,0.875,0.5875,1
土木工程,北京,1,0,1,2,2,2,2,2,2,10740,10312,8865,10313,8771,9207,13170,10573,9702,0.666666666666667,0.833333333333333,1
包装工程,北京,1,0,1,2,2,4,2,2,4,10740,10312,8865,12429,8771,4862,12429,9530,6100,0.916666666666667,0.333333333333333,1
林学类,北京,1,0,1,4,3,3.5,4,3,3.5,10740,10312,10526,8679,10312,9495.5,10525,21594,16059.5,0.833333333333333,0.375,0.708333333333333
环境工程,北京,1,0,1,2,2,2,2,2,2,10740,9802.5,8865,11911,9095.5,6280,12429,10260,8091,0.75,0.5,1
计算机类,北京,1,1,1,3,2,2.5,3,2,2.5,7753,8013,7883,6156,8267,7211.5,6922,8267,7594.5,0.833333333333333,0.333333333333333,0.833333333333333
软件工程,北京,1,0,1,4,4,4,4,4,4,3402,3469.5,3537,3183,3293.5,3404,3521,3598,3675,0.75,0.75,0.75
外国语言文学类,北京,1,0,1,1,1,1,1,1,1,3402,3469.5,3537,3521,3758,3995,3521,3758,3995,1,1,0.5
经济管理试验班,北京,1,0,1,7,6,5,3,4,5,3402,3469.5,3537,2907,2963,3019,3981,3988,3995,1,0.366666666666666,1
园林,北京,1,0,1,4,3,2,4,3,2,10740,9802.5,8865,5995,7718,9441,8289,8995.5,9702,1,0.5,1
城乡规划,北京,1,0,1,2,2,2,2,2,2,10740,9802.5,8865,7428,7345.5,7263,12194,10353,8512,0.75,0.25,0.75
电子信息类,北京,1,0,1,2,1,4,2,1,4,6603,7561,8091,4853,8532,7475,5536,8532,8512,0.583333333333333,0.833333333333333,1
电气类,北京,1,0,1,7,6.5,6,8,7,6,6603,7347,8091,3743,3137,2531,4490,5032,5574,0.9375,0.625,1
材料类,北京,1,0,1,1,1,1,1,1,1,6603,7561,8091,6603,8267,8512,6603,8267,8512,1,0.666666666666667,1
数学类,北京,1,0,1,1,8,4,1,8,4,6603,7561,8091,7076,5920,8291,7076,8013,8512,0.5,0.75,0.958333333333333
工商管理类,北京,1,0,1,4,2,3,4,2,3,6603,7561,7082,7925,8532,8228.5,8289,8771,8530,0.875,0.75,1
计算机类,北京,1,0,1,4,3,2,6,4,2,3402,3469.5,3537,2216,2617.5,3019,3183,3101,3019,0.916666666666667,0.75,1
电气类,北京,1,0,1,1,6,3.5,3,6,4.5,3402,3337,3369.5,3859,2365,3112,3981,3902,3941.5,1,0.666666666666667,1
工商管理类,北京,1,0,1,3,2,2.5,4,2,3,10740,10312,10526,10081,8013,9047,11449,8267,9858,1,0.125,0.5
风景园林,北京,1,0,1,2,2,2,2,2,2,10740,10312,8865,5394,9790,4287,5394,12020,4444,0.666666666666667,0.166666666666667,1
理科试验班类,北京,1,1,1,4,6.5,9,1,5,9,480,513.5,547,552,525,498,552,615,678,0.944444444444444,0.944444444444444,1
护理学,北京,1,0,1,1,2,1.5,1,2,1.5,8289,6108,7198.5,13967,12594,13280.5,13967,16739,15353,0,0.5,1
公共管理类,北京,1,0,1,2,4,1,2,4,1,8289,6108,7369,13676,3902,8512,14506,10876,8512,0.583333333333333,0.166666666666667,1
中药制药,北京,1,0,1,2,1.5,1,2,1.5,1,8289,7829,7369,11682,10815,9948,13170,11559,9948,0.25,0,1
中医学,北京,1,0,1,4,2.5,1,4,2.5,1,8289,7829,7369,6456,4996.5,3537,7753,5645,3537,0.75,0.625,1
经济管理试验班,北京,1,1,1,5,3.5,2,0,1,2,1322,1599.5,1877,1701,1701,1701,1989,1989,1989,0.5,0.5,1
安全工程,北京,1,0,1,2,2,2,2,2,2,4984,5920,5494,5116,7146,6280,5250,8013,6661,0.666666666666667,0.666666666666667,1
理科试验班,北京,1,0,1,2,2,2,2,2,2,4984,5920,5494,2810,2835,3252,2810,2952,3675,0.833333333333333,0.833333333333333,1
能源动力类,北京,1,0,1,5,6,7,5,6.5,8,4984,5239,5494,5536,4833.5,4131,6156,6603,7050,0.8375,0.7375,0.8
通信工程,北京,1,0,1,2,2,5,2,2,5,4984,5920,5494,4357,8267,5037,4357,8267,5574,0.933333333333333,0.866666666666667,1
