ZYMC,SZD,SFSYL,SF985,SF211,JHRS_3,JHRS_2,JHRS_1,SJRS_3,SJRS_2,SJRS_1,XX_Med_3,XX_Med_2,XX_Med_1,ZY_Max_3,ZY_Max_2,ZY_Max_1,ZY_Min_3,ZY_Min_2,ZY_Min_1,CS,NX,YJ
机械类,北京,0,0,0,3,3,3,3,3,3,17155,19665,21624,16975,20060,18527,17335,20803,22015,0.444444444444445,0.888888888888889,0.777777777777778
服装设计与工程,天津,1,0,0,2,2,2,2,2,2,20613,18895,20191,9672,13809,16332,15054,20803,19177,0.5,0.666666666666667,0.666666666666667
材料科学与工程,天津,1,0,0,2,2,2,2,2,2,20613,18895,20191,16653,15060,19847,18254,16053,21256,0.666666666666667,0.666666666666667,1
复合材料与工程,天津,1,0,0,2,2,2,2,2,2,20613,18895,19754,22380,19275,20827.5,22380,19665,21022.5,0.5,0.75,1
自动化,天津,1,0,0,2,4,4,2,4,4,20613,18895,20191,16975,15386,17874,16975,16739,20191,0.416666666666667,0.666666666666667,0.833333333333333
软件工程,河北,0,0,0,3,4,3.5,3,4,3.5,21994,24845,23419.5,22734,25708,24221,23849,26156,25002.5,0.416666666666667,0.458333333333333,0.875
土木工程,河北,0,0,0,4,4,4,4,4,4,33839.5,32603,32157,24999,21594,21624,26519,31660,23473,0.666666666666667,0.916666666666667,0.916666666666667
安全工程,河北,0,0,0,4,4,2,4,4,2,33839.5,32603,32157,34046,34067,31744,35359,35541,32587,0.75,0.583333333333333,1
测绘工程,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,34877,35541,26903,34877,35541,33479,0.833333333333333,0.666666666666667,1
机械电子工程,山西,1,0,1,4,6,6,4,6,6,14271,14760,13624,13967,12594,13624,14506,15386,15423,0.694444444444445,0.916666666666667,0.916666666666667
土木工程,山西,1,0,1,4,4,4,4,4,4,14271,14760,13624,14783,13210,12242,15054,14760,12803,0.333333333333333,1,0.916666666666667
人工智能,天津,1,0,0,2,2,2,2,2,2,20613,20402,20191,12908,15226.5,17545,17640,17757,17874,0.25,0.75,1
应用化学,天津,1,0,0,2,2,2,2,3,2.5,20613,18895,19754,21994,16739,19366.5,23478,20060,21769,0.5,0.5,1
测控技术与仪器,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,34877,35057,33479,35851,35057,33929,0.833333333333333,0.833333333333333,0.833333333333333
车辆工程,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,30139,29788,32587,32358,31180,33046,0.666666666666667,0.666666666666667,0.833333333333333
工商管理类,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,30568,27945,29634,33183,28400,32587,0.5,0.5,0.666666666666667
物流管理,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,34046,33072,33046,34046,33577,33479,0.666666666666667,0.5,0.833333333333333
金融学,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,35851,31180,33479,36341,34558,34768,0.833333333333333,0.5,1
工程管理,河北,0,0,0,4,4,4,4,4,4,33839.5,32603,33221.25,34462,30252,32357,36341,36536,36438.5,0.75,1,0.875
英语,山西,0,0,0,1,1,1,1,1,1,20612,22007,21309.5,20932,22007,21469.5,20932,22007,21469.5,1,1,0.5
土木工程,北京,1,0,1,4,4,4,4,5,4.5,12052.5,11005,11528.75,10081,10312,10196.5,12646,11693,12169.5,0.525,0.875,1
测绘类,北京,1,0,1,3,2,2.5,3,3,3,12052.5,11005,11528.75,12908,9530,11219,13394,10312,11853,0.666666666666667,0.666666666666667,0.833333333333333
工商管理类,北京,1,0,1,5,3.5,2,5,3.5,2,12052.5,12217,12381.5,8875,9782,10689,13676,12313.5,10951,0.55,0.45,0.75
地质类,北京,1,0,1,4,3.5,3,5,4,3,12052.5,12217,12381.5,11682,11714.5,11747,13967,13385,12803,0.3,0.9,1
地球物理学,北京,1,0,1,2,2,2,2,2,2,12052.5,11005,11528.75,12646,13210,12928,13676,13520,13598,0.75,0.75,0.75
工商管理类,天津,0,0,0,15,9,12,15,9,12,26132,18111,22121.5,24638,6933,15785.5,32358,13809,23083.5,0.8,0.666666666666667,0.877777777777778
交通运输类,河北,0,0,0,3,3,3,3,3,3,33839.5,32603,33221.25,20932,24455,22693.5,24262,31180,27721,0.666666666666667,0.666666666666667,0.666666666666667
建筑学,河北,0,0,0,3,3,2,3,3,2,33839.5,32603,32157,31015,31660,24590,32777,33577,26499,0.611111111111111,0.333333333333333,0.833333333333333
材料类,河北,0,0,0,4,4,4,4,4,4,33839.5,32603,33221.25,35359,32603,33981,40100,36051,38075.5,0.375,0.5,0.75
通信工程,河北,0,0,0,3,3,3,3,3,3,33839.5,32603,33221.25,32358,31660,32009,33633,33072,33352.5,0.833333333333333,0.5,0.666666666666667
计算机类,河北,0,0,0,4,4,4,4,4,4,33839.5,32603,33221.25,24999,30252,27625.5,34046,32603,33324.5,0.5,0.625,0.75
工程力学,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,33221.25,32777,34067,33422,34462,35057,34759.5,0.75,1,1
金融学,内蒙古,1,0,1,1,1,2,1,1,2,25370.5,24237.5,22743,24638,22007,22367,24638,22007,23473,0.833333333333333,1,1
数学类,内蒙古,1,0,1,2,2,2,2,2,2,25370.5,24237.5,22743,19242,23187,20877,21994,24455,21624,0.333333333333333,0.833333333333333,1
物理学,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,22743,18907,16053,15133,18907,16053,15133,1,0.666666666666667,0.666666666666667
物理学类,内蒙古,1,0,1,2,1,2,2,1,2,25370.5,24237.5,22743,20292,16396,23107,22380,16396,23473,0.666666666666667,0.833333333333333,0.5
化学,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,24804,18907,24020,21463.5,18907,24020,21463.5,0.5,0.5,1
环境工程,北京,1,0,1,3,3,2,3,3,2,12052.5,11005,12381.5,12908,9790,10199,13967,13520,10442,1,0.777777777777778,0.888888888888889
信息工程,北京,1,0,1,2,2,2,2,2,2,12052.5,11005,11528.75,9263,9530,9396.5,9672,9530,9601,0.75,0.75,0.5
工程力学,北京,1,0,1,3,3,3,3,3,3,12052.5,11005,12381.5,11449,10876,11747,12429,13809,12521,0.666666666666667,0.888888888888889,1
建筑学,北京,1,0,1,2,2,2,2,2,2,12052.5,11005,11528.75,9069,10876,9972.5,10525,11134,10829.5,0.75,0.5,1
通信工程,天津,0,0,0,9,8,8,9,8,8,26132,18111,15719,14271,14111,8750,28494,27945,16935,0.708333333333333,0.763888888888889,0.916666666666667
应用物理学,河北,0,0,0,2,2,2,2,2,2,33839.5,32603,32157,34877,34067,19847,35851,38002,33929,0.333333333333333,0.833333333333333,0.666666666666667
经济与金融,河北,0,0,0,2,2,2,2,2,2,22734,17605,20169.5,23849,12911,18380,23849,15708,19778.5,0.5,0.75,0.75
应用物理学,河北,0,0,0,2,2,2,2,2,2,22734,17605,20169.5,23105,15708,19406.5,24638,24020,24329,0.5,0.75,1
应用化学,河北,0,0,0,2,2,2,2,2,2,22734,17605,20169.5,25742,15386,20564,26519,27945,27232,0.75,0.5,0.75
工业设计,河北,0,0,0,2,2,2,2,2,2,22734,19006,15278,21623,18378,15133,23478,19450.5,15423,1,0.75,1
大气科学,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,24804,24638,25285,24961.5,24638,25285,24961.5,1,0.5,0.5
车辆工程,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24056.75,22743,28911,25827,22743,28911,25827,22743,1,1,1
电子科学与技术,内蒙古,1,0,1,1,1.5,2,1,1.5,2,25370.5,24056.75,22743,26519,23887.5,21256,26519,24631,22743,0.25,1,1
软件工程,内蒙古,1,0,1,2,2,1,2,2,1,25370.5,24237.5,22743,26132,18497,23473,26519,22007,23473,0.666666666666667,1,1
网络工程,内蒙古,1,0,1,1,1,3,1,1,3,25370.5,24237.5,22743,25742,22780,20877,25742,22780,22743,0.111111111111111,0.666666666666667,0.888888888888889
数学类,北京,1,0,1,3,3,3,3,3,3,12052.5,11005,11528.75,9887,10876,10381.5,11202,12316,11759,0.833333333333333,0.666666666666667,1
材料科学与工程,北京,1,0,1,3,3.5,4,3,3.5,4,11449,11715,11981,10525,11136,11747,12646,12724.5,12803,0.833333333333333,0.583333333333333,1
石油工程,北京,1,0,1,4,2,2,4,2,2,11449,12020,11981,9069,12594,12803,10740,12594,13088,0.5,0.916666666666667,0.5
电子信息工程,北京,1,0,1,2,2,4,2,2,4,11449,12020,11981,10983,12020,9702,11449,14438,12521,0.75,1,0.916666666666667
地球物理学类,北京,1,0,1,2,3,2,2,3,2,11449,12020,11981,12646,12911,11981,12646,13210,11981,0.444444444444444,0.777777777777778,0.777777777777778
信息安全,天津,0,0,0,5,5,3,7,5,3,26132,18111,15719,22380,16739,18216,31015,23187,19847,0.888888888888889,0.612698412698413,0.841269841269841
安全工程,天津,0,0,0,4,4,3,4,4,3,26132,18111,15719,26519,18111,18869,31926,23187,21256,0.833333333333333,0.555555555555556,0.805555555555556
中医学类,天津,1,0,0,14,14,14,14,14,14,19074.5,15386,13624,13394,11413,10199,18907,17077,14511,0.714285714285714,0.333333333333334,0.928571428571429
车辆工程,河北,0,0,0,2,2,2,2,2,2,22734,17605,15278,20932,15708,16023,24999,18895,16332,0.666666666666667,0.833333333333333,1
材料类,河北,0,0,0,4,2,3,4,1,2.5,22734,17605,20169.5,19595,35541,27568,25364,35541,30452.5,0.75,0.375,0.75
能源动力类,河北,0,0,0,4,2,3,4,4,4,22734,17605,20169.5,24638,25285,24961.5,25742,34558,30150,0.5,0.75,0.75
电气类,河北,0,0,0,6,2,5,6,2,6,22734,17605,15278,16100,18895,13088,24262,19665,14222,0.5,0.944444444444444,0.833333333333333
电子信息工程,河北,0,0,0,4,2,2,4,4,2,22734,17605,15278,21263,13520,15719,24638,35057,16023,0.416666666666667,0.916666666666667,0.75
电子科学与技术,河北,0,0,0,2,2,2,2,2,2,22734,19006,15278,15557,14322.5,13088,19242,17480.5,15719,0.5,0.75,1
土木工程,内蒙古,1,0,1,3,3,2,3,3,2,25370.5,24237.5,22743,24638,22780,25727,26910,27067,25727,0.555555555555555,0.444444444444445,0.833333333333333
化学工程与工艺,内蒙古,1,0,1,2,2,1,2,2,1,25370.5,24237.5,22743,23849,25708,25727,24999,28400,25727,0.666666666666667,0.666666666666667,0.5
交通运输,内蒙古,1,0,1,3,3,1,3,3,1,25370.5,24237.5,22743,26519,22405,25727,28110,27067,25727,0.555555555555556,0.333333333333333,0.444444444444444
环境工程,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,24804,24262,25285,24773.5,24262,25285,24773.5,0,0.5,0.5
环境科学,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,24804,24638,28400,26519,24638,28400,26519,1,0.5,1
生物工程,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,22743,26910,22007,25342,26910,22007,25342,0.666666666666667,0,0.666666666666667
海洋油气工程,北京,1,0,1,3,3,2,3,3,2,11449,12020,11981,10525,10312,11747,11911,12911,12803,0.888888888888889,0.777777777777778,1
化工与制药类,北京,1,0,1,4,2,2,4,2,2,11449,12020,11981,11911,12594,12803,12646,12911,13368,0.583333333333333,0.666666666666667,1
工商管理类,北京,1,0,1,2,3,2.5,2,3,2.5,11449,12020,11734.5,11449,12911,12180,11449,13520,12484.5,0.833333333333333,0.5,1
油气储运工程,北京,1,0,1,2,3,2.5,2,3,2.5,11449,12020,11734.5,6323,12594,9458.5,7076,13809,10442.5,0.833333333333333,1,1
机械类,北京,1,0,1,6,1,2,6,1,2,11449,12020,11981,10983,11134,9441,12429,11134,10199,0.888888888888889,1,1
中西医临床医学,天津,1,0,0,2,2,2,2,2,2,19074.5,15386,17230.25,13394,12594,12994,17335,12911,15123,0.5,0,1
药学类,天津,1,0,0,9,9,9,9,9,9,19074.5,15386,17230.25,13967,17077,15522,20932,30698,25815,0.5,0.222222222222222,0.833333333333333
中药学类,天津,1,0,0,7,7,7,7,7,7,19074.5,15386,17230.25,19595,18497,19046,20932,28863,24897.5,0.857142857142857,0.428571428571428,0.785714285714285
金融学类,天津,0,0,0,2,2,2,2,2,2,17929,14760,16344.5,16369,9034,12701.5,16975,11693,14334,0.75,0.25,0.75
经济学,天津,0,0,0,3,3,3,3,3,3,17929,14760,16344.5,12646,10876,11761,14506,14760,14633,0.833333333333333,0.333333333333333,0.833333333333333
软件工程,河北,0,0,0,4,2,3,6,2,4,22734,17605,15278,13394,16396,14222,23105,24020,16023,0.638888888888889,0.944444444444444,1
土木类,河北,0,0,0,2,2,2,2,2,2,22734,19006,15278,22380,19049.5,15719,25742,20882.5,16023,0.75,1,1
生物工程,河北,0,0,0,2,2,2,2,2,2,22734,17605,15278,22380,16739,14511,24262,18895,15423,0.5,0.666666666666667,0.833333333333333
电子商务,河北,0,0,0,2,2,2,1,1.5,2,22734,19006,15278,23849,19334.5,14820,23849,19334.5,14820,0,1,1
旅游管理,河北,0,0,0,2,2,2,1,1.5,2,22734,19006,15278,25364,20092,14820,25364,20248.5,15133,0.5,0.5,1
工程管理,内蒙古,1,0,1,3,1,1,3,1,1,25370.5,24237.5,22743,28911,26156,24947,30139,26156,24947,1,0.111111111111111,0.888888888888889
会计学,内蒙古,1,0,1,1,1,1,1,1,1,25370.5,24237.5,24804,19242,21594,20418,19242,21594,20418,0.5,0,1
工程力学,辽宁,1,1,1,2,1.5,1,2,1.5,1,3633,3585,3537,2810,3242.5,3675,3288,3481.5,3675,0.5,0.25,1
数学类,北京,1,0,1,2,2,2,2,2,2,11449,11715,11981,10740,10973,11206,10740,11630.5,12521,1,0.25,1
材料类,北京,1,0,1,2,2,2,2,2,2,11796.5,11693,11744.75,9480,12020,10750,10313,12020,11166.5,0.75,0.25,1
财政学类,天津,0,0,0,2,2,2,2,2,2,17929,14760,16344.5,15821,13809,14815,15821,15386,15603.5,1,0.25,0.5
软件工程,天津,0,0,0,3,3,3,3,3,3,17929,14760,16344.5,17640,14111,15875.5,22380,17786,20083,0.833333333333333,0.666666666666667,0.833333333333333
工商管理类,天津,0,0,0,2,2,2,2,2,2,17929,14760,16344.5,15054,15060,15057,18566,17424,17995,0.5,0.25,1
会计学,天津,0,0,0,2,2,2,2,2,2,17929,14760,16344.5,13967,12020,12993.5,14506,13210,13858,0.75,0,1
物流管理,天津,0,0,0,4,4,4,4,4,4,17929,14760,16344.5,18907,18111,18509,19242,27501,23371.5,0.875,0.375,0.875
经济学类,河北,1,1,1,3,4,4,3,5,4,8875,9034,9702,8679,8532,8512,8875,9267,10689,1,0.477777777777778,0.933333333333333
能源与动力工程,辽宁,1,1,1,1,2.5,4,1,2.5,4,3633,3585,3537,3981,3616.5,3252,3981,3828,3675,0.875,0.875,1
地球物理学,北京,1,0,1,1,1,1,1,1,1,11796.5,11693,11744.75,11911,11693,11802,11911,11693,11802,1,1,1
勘查技术与工程,北京,1,0,1,2,2,2,2,2,2,11796.5,11693,11744.75,12908,12316,12612,12908,12316,12612,0.75,0.25,1
金融数学,天津,0,0,0,2,2,2,2,2,2,17929,14760,16344.5,17929,14438,16183.5,18566,16053,17309.5,0.75,0,1
应用物理学,天津,1,0,1,3,3,3,3,3,3,11202,11591.5,11981,11449,11715,11981,11911,12216,12521,1,0.666666666666667,1
智能制造工程,天津,1,0,1,2,2,2,2,2,2,11202,11693,11447.5,10983,11134,11058.5,11202,12316,11759,1,0.75,1
经济统计学,河北,0,0,0,5,4.5,4,5,4.5,4,28302,29299,30296,23478,25190.5,26903,30568,29900.5,29233,0.7,0.2,0.9
资源勘查工程,江西,0,0,0,3,1,1,3,2,1,35851,36536,34570.5,36341,36536,35639,37277,37520,35639,0.722222222222222,0.611111111111111,1
勘查技术与工程,江西,0,0,0,2,2,2,2,2,2,35851,36536,36193.5,36815,38002,37408.5,38627,38002,38314.5,0.25,0.5,1
能源动力类,山东,1,1,1,2,2,2,2,0,1,3461.5,3752,3606.75,4116,4116,4116,4227,4227,4227,1,1,1
机械类,山东,1,1,1,2,2,2,4,3,2,3461.5,3796.25,4131,3859,3847.5,3836,4116,3976,3836,1,0.5,1
化学类,安徽,1,1,1,1,1,1,1,1,1,241,292,266.5,260,219,239.5,260,219,239.5,1,1,1
数学类,安徽,1,1,1,1,1,1,2,1,1,241,292,264,136,114,130,260,114,130,1,1,1
物理学类,安徽,1,0,1,2,2,2,2,2,2,10525,11007.5,11490,9672,10709.5,11747,10525,11136,11747,0.5,1,1
材料类,安徽,1,0,1,2,2,2,2,2,2,10525,11007.5,11490,11449,11327.5,11206,13967,12728.5,11490,0.5,0.75,0.75
计算机类,安徽,1,0,1,2,2,2,2,2,2,10525,10573,11490,9069,9267,10199,9263,9267,10199,0.5,1,0.833333333333333
地球物理学,江西,0,0,0,1,1,2,1,1,2,35851,36536,34570.5,35851,38002,35212,35851,38002,35639,1,0.666666666666667,0.833333333333333
测控技术与仪器,江西,0,0,0,2,1,1.5,2,1,1.5,35851,36536,36193.5,35851,38002,36926.5,37277,38002,37639.5,0.25,0.75,0.75
核工程类,江西,0,0,0,2,2,2,2,2,2,35851,36536,36193.5,35359,26156,30757.5,35359,32131,33745,0.5,0.75,1
环境工程,江西,0,0,0,2,2,2,3,2,3,35851,36536,34570.5,34462,36051,32587,39601,38002,35639,0.666666666666667,0.666666666666667,0.888888888888889
化学类,山东,1,1,1,3,3,2,6,3,4,3461.5,3752,4131,2703,3337,4131,3859,3603,4444,0.861111111111111,0.472222222222222,0.694444444444445
自动化类,山东,1,1,1,3,3,2,3,3,2,3461.5,3752,4131,3402,3226,3143,3521,4253,3995,0.888888888888889,0.777777777777778,0.888888888888889
地质类,安徽,1,0,1,2,5,3.5,2,5,3.5,10740,9267,10003.5,12429,6933,9681,12646,8771,10708.5,0.75,1,0.55
电子信息类,安徽,1,0,1,2,2,2,2,2,2,10525,10573,11490,9887,9790,10689,9887,9790,10951,0.5,0.833333333333333,0.833333333333333
自动化类,安徽,1,0,1,2,2,2,2,2,2,10525,10573,11490,10740,9530,9702,10983,10876,11490,0.833333333333333,0.833333333333333,1
食品科学与工程,安徽,1,0,1,2,3,3,2,3,3,15305,12594,13088,12429,13520,13088,12646,14111,14222,0.611111111111111,0.888888888888889,1
物流管理,安徽,1,0,1,2,2,2,2,2,2,15305,12594,13949.5,11449,14111,12780,26910,14438,20674,0.75,0.5,0.75
应用化学,江西,0,0,0,2,2,2,2,2,2,35851,36536,36193.5,36341,36536,36438.5,36815,36536,36675.5,0.25,0.75,0.75
材料科学与工程,江西,0,0,0,3,1,2,3,1,2,35851,36536,36193.5,32358,34067,33212.5,39601,34067,36834,0.333333333333333,1,1
电子信息工程,江西,0,0,0,2,1,1.5,2,1,1.5,35851,36536,36193.5,10525,38002,24263.5,27727,38002,32864.5,0.75,1,1
自动化,江西,0,0,0,2,1,1.5,2,1,1.5,35851,36536,36193.5,31926,38002,34964,33633,38002,35817.5,0.75,1,1
海洋科学,山东,1,1,1,2,2,2,2,2,2,7255,7460,7475,5536,4429,7475,5690,4616,7693,0.666666666666667,0.5,1
机械工程,安徽,1,0,1,7,4.5,2,7,4.5,2,15305,14196.5,13088,12194,11441.5,10689,18254,15387.5,12521,0.5,0.5,1
土木类,江西,0,0,0,5,3.5,2,5,4,3,35851,35210.75,34570.5,32777,33128,33479,36341,35990,35639,0.466666666666666,0.366666666666666,0.833333333333333
矿业类,江西,0,0,0,5,4,2,5,4,2,39107,37035,33479,35359,37035,32157,39601,38002,34768,0.55,1,0.766666666666667
安全工程,江西,0,0,0,4,3,2,4,3,2,39107,37035,33479,33183,35057,34768,39107,38002,35212,0.222222222222222,0.555555555555556,0.666666666666667
环境工程,江西,0,0,0,4,3,2,4,3,2,39107,37035,33479,38627,36051,33046,39601,38002,33929,0.166666666666667,0.444444444444444,0.805555555555556
地质工程,江西,0,0,0,4,3,2,4,3,2,39107,36293,33479,36341,35135,33929,40584,37676,34768,0.75,0.875,1
大气科学,山东,1,1,1,2,2,2,2,2,2,7255,7460,7357.5,7595,7359,7477,7753,7791,7772,0.75,0.25,1
电子信息类,山东,1,1,1,2,2,2,2,2,2,7255,7460,7475,4984,6722,7263,6156,7561,7693,0.666666666666667,0.666666666666667,1
计算机类,山东,1,1,1,2,1,2,2,1,3,7255,7460,7475,7076,7791,7475,7076,7791,8091,0.388888888888889,0.777777777777778,0.722222222222222
海洋技术,山东,1,1,1,2,2,2,2,2,2,7255,7460,7357.5,6323,6933,6628,7428,6933,7180.5,0.75,0.25,1
通信工程,安徽,1,0,1,2,2,2,2,2,2,10740,9267,10003.5,8289,9267,8778,9069,9530,9299.5,1,1,1
化学工程与工艺,安徽,1,0,1,2,2,2,2,2,2,10740,9267,9441,12646,9034,10199,12908,9530,10689,0.833333333333333,0.833333333333333,1
地质学,安徽,1,0,1,2,3,2.5,1,3,2,10740,9267,10003.5,12429,7561,9995,12429,8267,10348,0.333333333333333,1,0.5
自动化,安徽,1,0,1,2,4.5,7,2,4.5,7,15305,14196.5,13088,11449,11845.5,12242,12429,13173.5,13918,0.678571428571428,1,0.678571428571428
冶金工程,江西,0,0,0,5,4,2,5,4,2,39107,37035,33479,39107,37035,33479,40584,38002,34768,0.616666666666667,0.916666666666667,0.833333333333333
机械工程,江西,0,0,0,5,6,6,5,6,5,39107,37035,33479,37753,37035,30491,39601,39008,35212,0.377777777777778,0.888888888888889,0.8
自动化,江西,0,0,0,5,3.5,2,5,3.5,2,39107,36293,33479,29730,31604.5,33479,39601,37184.5,34768,0.5,0.9,1
能源化学工程,山东,1,0,1,3,3,3,3,3,3,12646,13210,13368,13170,14111,13368,13676,14438,13624,0.333333333333333,0.777777777777778,1
应用化学,山东,1,0,1,4,3,2,4,3,2,12646,13007,13368,13394,12818,12242,13676,13239.5,12803,0.75,0.75,0.75
机械类,山东,1,0,1,4,2,2,4,2,2,12646,13210,13368,11911,13210,12803,12429,14438,14222,0.75,0.416666666666667,0.833333333333333
工程力学,山东,1,0,1,2,2,2,2,2,2,12646,13210,13368,13394,13809,12521,13394,14438,13624,1,0.833333333333333,0.833333333333333
会计学,安徽,1,0,1,2,2,2,2,1,0,10740,10090.5,9441,7255,7255,7255,12908,12908,12908,0,0.5,0.5
数学与应用数学,安徽,1,0,1,2,2,2,2,2,2,10740,9267,10003.5,8875,9530,9202.5,14506,10046,12276,0.5,0.5,1
信息与计算科学,安徽,1,0,1,2,2,2,2,2,2,10740,10090.5,9441,10740,10090.5,9441,10983,10342.5,9702,0.25,1,0.75
软件工程,安徽,1,0,1,2,2,2,2,2,2,10740,10090.5,9441,8289,9244,10199,8289,9365.5,10442,0.75,1,1
经济学类,福建,1,1,1,8,1,1,8,1,1,2126,1942,1701,1390,2365,1989,2216,2365,1989,0.958333333333333,0.5,1
工商管理类,福建,1,1,1,1,2,2,1,2,2,2126,1942,1701,1767,623,594,1767,658,1009,1,0.5,0.833333333333333
中医学,江西,0,0,0,2,2,2,2,2,2,18736.5,23187,20961.75,16975,22405,19690,17640,22405,20022.5,0.75,0.5,1
中西医临床医学,江西,0,0,0,2,3,2.5,2,3,2.5,18736.5,23187,20961.75,17335,23187,20261,18566,24845,21705.5,0.416666666666667,0.666666666666667,1
安全工程,山东,1,0,1,3,3,3,3,3,3,12646,13007,13368,12429,11959.5,11490,12429,12088,11747,0.666666666666667,0.833333333333333,1
信息与计算科学,安徽,0,0,0,2,2,2,2,2,2,35118,34190.25,33262.5,28110,27506.5,26903,30568,29900.5,29233,0.75,1,1
应用化学,安徽,0,0,0,2,3,4,2,3,4,35118,34190.25,33262.5,28494,30540.5,32587,32777,34639,36501,0.375,0.5,0.5
机械电子工程,安徽,0,0,0,4,2,3,4,2,3,35118,33822,34470,29337,27945,28641,34877,29788,32332.5,0.625,0.25,0.875
临床医学,江西,0,0,0,20,20,20,20,20,20,18091.5,18497,20534,14506,14111,13918,19595,19665,23107,0.716666666666667,0.566666666666667,0.9
应用物理学,山东,1,0,1,3,2.5,2,3,2.5,2,12646,13007,13368,11682,11962,12242,13170,12845.5,12521,0.75,0.583333333333333,1
化工安全工程,山东,1,0,1,2,2,2,2,2,2,12646,13007,13368,12194,12087.5,11981,12646,13007,13368,0.75,1,1
电子信息工程,山东,1,0,1,3,3,2,3,3,2,12646,13210,13368,10983,11413,13088,11911,12594,14511,0.888888888888889,1,1
通信工程,安徽,0,0,0,2,4,3,2,4,3,35118,33822,34470,31015,24845,27930,32777,34558,33667.5,0.375,0.875,0.75
土木类,福建,1,1,1,2,2,2,2,2,2,2126,1942,1701,2054,2265,1774,2292,2490,1989,0.333333333333333,0.666666666666667,0.833333333333333
工业设计,福建,1,0,1,2,2,2,2,2,2,11565.5,10882.25,10199,11449,10945.5,10442,11911,11176.5,10442,0.75,0.5,1
土木工程,福建,1,0,1,2,2,2,2,2,2,11565.5,10882.25,10199,10525,10236.5,9948,11682,11316.5,10951,0.75,1,1
电子信息类,福建,1,0,1,2,2,2,2,2,2,11565.5,10312,10938.75,8480,8013,8246.5,10983,9530,10256.5,0.75,0.5,0.75
环保设备工程,山东,1,0,1,2,2,2,2,2,2,12646,13210,13368,13394,13520,12521,13394,14760,13368,0.666666666666667,0.833333333333333,0.833333333333333
地理信息科学,山东,1,0,1,2,2,2,2,2,2,12646,13007,13368,12646,11798.5,10951,13676,14093.5,14511,0.5,0.5,1
自动化,安徽,0,0,0,4,4,4,4,4,4,35118,33822,34470,32777,29788,31282.5,35359,32131,33745,0.375,1,0.875
土木工程,安徽,0,0,0,4,4,4,4,4,4,35118,33822,34470,24262,32131,28196.5,31926,36051,33988.5,0.125,0.375,0.75
数学类,福建,1,0,1,2,2,3,2,2,3,11565.5,10312,10199,8875,9790,9207,9887,10312,9948,0.888888888888889,0.277777777777778,1
经济学类,江西,0,0,0,2,2,2,2,2,2,15305,13210,12242,13394,12316,8512,13676,13809,10199,0.333333333333333,0.166666666666667,1
经济学类,江西,0,0,0,2,2,2,2,2,2,15305,13210,12242,12646,13210,7865,14783,14438,11490,0.833333333333333,0.5,0.833333333333333
智能建造,安徽,0,0,0,2,2,2,2,2,2,35118,33822,34470,34877,30252,32564.5,34877,30698,32787.5,0.75,0.5,1
测绘工程,安徽,0,0,0,6,2,4,6,2,4,35118,33822,34470,35851,14438,25144.5,40584,29788,35186,0.25,0.75,0.833333333333333
遥感科学与技术,安徽,0,0,0,4,2,3,4,2,3,35118,33822,34470,35359,30698,33028.5,40100,31180,35640,0.375,0.5,0.625
临床医学,福建,0,0,0,2,3,1,2,3,1,13535,16739,13072.5,9887,11413,11490,10081,13520,11490,0.555555555555556,0.777777777777778,0.888888888888889
麻醉学,福建,0,0,0,2,2,2,2,2,2,13535,16739,15137,11449,10046,10747.5,13967,15386,14676.5,0.5,0.75,1
财政学类,江西,0,0,0,2,2,2,2,2,2,15305,13210,12242,13676,13520,11490,13676,13520,12521,0.333333333333333,0.333333333333333,0.833333333333333
金融学类,江西,0,0,0,2,2,2,2,2,2,15305,13210,12242,9480,11693,7693,11202,12594,10951,0.833333333333333,0.333333333333333,1
金融学类,江西,0,0,0,1,1,1,1,1,1,15305,13210,12242,14271,7791,15719,14271,7791,15719,0.666666666666667,0,1
经济与贸易类,江西,0,0,0,2,2,2,2,2,2,15305,13210,12242,15305,9267,9948,15305,12316,12242,0.5,0,0.833333333333333
材料类,浙江,1,0,0,3,6,4.5,3,6,4.5,16975,14111,15543,16975,13809,15392,17640,18111,17875.5,0.416666666666667,0.583333333333333,0.75
工商管理类,浙江,1,0,0,2,4,6,2,4,6,16975,14111,14511,16369,12020,14820,16653,17424,23107,0.472222222222222,0.555555555555556,1
物理学类,浙江,0,0,0,4,4,4,4,4,4,12646,14034.5,15423,10081,10516,10951,12646,13434,14222,0.75,0.25,0.75
